,name,company,year,Price,kms_driven,fuel_type,transmission
0,Maruti 800,Maruti,2007,60000,70000,Petrol,Manual
1,Maruti Wagon,Maruti,2007,135000,50000,Petrol,Manual
2,Hyundai Verna,Hyundai,2012,600000,100000,Diesel,Manual
3,Datsun RediGO,Datsun,2017,250000,46000,Petrol,Manual
4,Honda Amaze,Honda,2014,450000,141000,Diesel,Manual
5,Maruti Alto,Maruti,2007,140000,125000,Petrol,Manual
6,Hyundai Xcent,Hyundai,2016,550000,25000,Petrol,Manual
7,Tata Indigo,Tata,2014,240000,60000,Petrol,Manual
8,Hyundai Creta,Hyundai,2015,850000,25000,Petrol,Manual
9,Maruti Celerio,Maruti,2017,365000,78000,CNG,Manual
10,Chevrolet Sail,Chevrolet,2015,260000,35000,Petrol,Manual
11,Tata Indigo,Tata,2014,250000,100000,Petrol,Manual
12,Toyota Corolla,Toyota,2018,1650000,25000,Petrol,Automatic
13,Maruti 800,Maruti,2007,60000,70000,Petrol,Manual
14,Maruti Wagon,Maruti,2007,135000,50000,Petrol,Manual
15,Hyundai Verna,Hyundai,2012,600000,100000,Diesel,Manual
16,Datsun RediGO,Datsun,2017,250000,46000,Petrol,Manual
17,Honda Amaze,Honda,2014,450000,141000,Diesel,Manual
18,Maruti Alto,Maruti,2007,140000,125000,Petrol,Manual
19,Hyundai Xcent,Hyundai,2016,550000,25000,Petrol,Manual
20,Tata Indigo,Tata,2014,240000,60000,Petrol,Manual
21,Hyundai Creta,Hyundai,2015,850000,25000,Petrol,Manual
22,Maruti Celerio,Maruti,2017,365000,78000,CNG,Manual
23,Chevrolet Sail,Chevrolet,2015,260000,35000,Petrol,Manual
24,Tata Indigo,Tata,2014,250000,100000,Petrol,Manual
25,Toyota Corolla,Toyota,2018,1650000,25000,Petrol,Automatic
26,Maruti Ciaz,Maruti,2015,585000,24000,Petrol,Manual
27,Hyundai Venue,Hyundai,2019,1195000,5000,Diesel,Manual
28,Chevrolet Enjoy,Chevrolet,2013,390000,33000,Diesel,Manual
29,Jaguar XF,Jaguar,2014,1964999,28000,Diesel,Automatic
30,Mercedes-Benz New,Mercedes-Benz,2013,1425000,59000,Diesel,Automatic
31,Maruti Vitara,Maruti,2018,975000,4500,Diesel,Automatic
